"Yield","Pesticide","Variety"
20,"PP1","V1"
21,"PP1","V1"
20,"PP1","V1"
20,"PP1","V2"
19,"PP1","V2"
22,"PP1","V2"
24,"PP1","V3"
23,"PP1","V3"
24,"PP1","V3"
17,"PP2","V1"
18,"PP2","V1"
16,"PP2","V1"
18,"PP2","V2"
18,"PP2","V2"
20,"PP2","V2"
20,"PP2","V3"
21,"PP2","V3"
20,"PP2","V3"
24,"PP3","V1"
23,"PP3","V1"
24,"PP3","V1"
23,"PP3","V2"
20,"PP3","V2"
34,"PP3","V2"
27,"PP3","V3"
28,"PP3","V3"
27,"PP3","V3"
20,"PP4","V1"
19,"PP4","V1"
18,"PP4","V1"
18,"PP4","V2"
19,"PP4","V2"
17,"PP4","V2"
22,"PP4","V3"
22,"PP4","V3"
23,"PP4","V3"
